entrytime,temp,pressure
9:04 AM,68,166
9:01 AM,67,174
9:03 AM,71,153
9:00 AM,67,167
9:01 AM,74,156
9:02 AM,72,168
9:00 AM,77,164
9:04 AM,74,153
9:02 AM,66,157
9:00 AM,76,165
9:02 AM,75,150
9:04 AM,77,166
9:03 AM,74,154
9:00 AM,75,175
9:04 AM,69,159
9:01 AM,70,151
9:01 AM,77,153
9:00 AM,71,157
9:03 AM,71,152
9:00 AM,76,161
9:04 AM,70,170
9:03 AM,71,156
9:02 AM,74,163
9:01 AM,73,166
9:02 AM,70,164
9:01 AM,68,172
9:03 AM,72,155
9:02 AM,68,171
9:04 AM,71,153
9:00 AM,67,159
9:03 AM,66,172
9:01 AM,77,152
9:03 AM,76,154
9:04 AM,69,156
9:03 AM,67,164
9:04 AM,75,153
9:04 AM,70,174
9:04 AM,67,158
9:02 AM,67,156
9:03 AM,77,159
9:01 AM,67,169
9:02 AM,74,168
9:00 AM,75,172
9:03 AM,72,159
9:00 AM,76,170
9:04 AM,69,153
9:02 AM,69,164
9:01 AM,73,151
9:04 AM,70,157
9:03 AM,67,163
9:02 AM,70,160
9:02 AM,74,169
9:01 AM,68,170
9:02 AM,70,151
9:04 AM,72,171
9:03 AM,74,170
9:04 AM,73,172
9:00 AM,69,163
9:04 AM,76,159
9:04 AM,69,157
9:00 AM,70,173
9:01 AM,66,156
9:04 AM,70,174
9:03 AM,69,171
9:01 AM,76,154
9:04 AM,75,158
9:01 AM,75,153
9:02 AM,73,151
9:04 AM,68,173
9:02 AM,74,172
9:02 AM,73,164
9:02 AM,69,173
9:04 AM,75,169
9:00 AM,68,159
9:03 AM,74,173
9:03 AM,69,173
9:03 AM,73,165
9:04 AM,68,164
9:02 AM,66,167
9:04 AM,72,158
9:03 AM,76,155
9:04 AM,73,171
9:04 AM,69,162
9:02 AM,72,154
9:00 AM,73,159
9:01 AM,68,161
9:00 AM,77,155
9:04 AM,67,165
9:03 AM,69,165
9:01 AM,66,171
9:02 AM,77,175
9:01 AM,66,173
9:02 AM,77,168
9:03 AM,77,152
9:04 AM,75,172
9:03 AM,68,169
9:04 AM,72,164
9:01 AM,72,160
9:04 AM,69,157
9:01 AM,68,170
9:03 AM,66,165
9:03 AM,66,161
9:03 AM,70,165
9:01 AM,66,166
9:00 AM,72,154
9:01 AM,71,173
9:04 AM,73,155
9:03 AM,76,156
9:02 AM,77,174
9:02 AM,70,171
9:01 AM,66,160
9:01 AM,72,157
9:00 AM,66,154
9:00 AM,69,165
9:03 AM,69,173
9:02 AM,77,158
9:02 AM,69,172
9:00 AM,66,160
9:02 AM,71,152
9:00 AM,74,173
9:01 AM,66,153
9:04 AM,76,164
9:01 AM,73,162
9:00 AM,71,174
9:03 AM,67,165
9:02 AM,76,150
9:03 AM,69,175
9:04 AM,66,162
9:02 AM,69,164
9:03 AM,76,152
9:02 AM,70,155
9:02 AM,66,162
9:01 AM,69,169
9:04 AM,75,152
9:02 AM,72,157
9:04 AM,73,159
9:00 AM,74,158
9:00 AM,72,163
9:03 AM,71,173
9:04 AM,74,171
9:04 AM,76,159
9:02 AM,73,151
9:03 AM,71,169
9:03 AM,69,158
9:04 AM,74,171
9:01 AM,69,151
9:00 AM,75,157
9:04 AM,76,151
9:01 AM,76,163
9:02 AM,77,158
9:03 AM,75,159
9:02 AM,68,174
9:01 AM,68,150
9:01 AM,74,173
9:03 AM,71,152
9:01 AM,71,166
9:04 AM,75,154
9:00 AM,74,159
9:01 AM,68,168
9:01 AM,69,165
9:00 AM,67,168
9:01 AM,72,167
9:00 AM,66,170
9:00 AM,70,162
9:03 AM,75,157
9:04 AM,70,151
9:00 AM,68,173
9:00 AM,73,167
9:00 AM,71,166
9:02 AM,75,167
9:02 AM,71,171
9:02 AM,71,166
9:03 AM,72,165
9:04 AM,76,159
9:03 AM,70,174
9:04 AM,68,150
9:03 AM,68,173
9:02 AM,72,165
9:03 AM,72,173
9:04 AM,70,151
9:02 AM,77,167
9:01 AM,71,158
9:03 AM,70,156
9:02 AM,75,175
9:00 AM,75,153
9:03 AM,73,166
9:01 AM,74,151
9:03 AM,75,160
9:02 AM,68,173
9:04 AM,67,159
9:01 AM,73,163
9:02 AM,76,151
9:02 AM,77,155
9:01 AM,76,160
9:04 AM,73,158
9:04 AM,73,151
9:02 AM,68,172
9:03 AM,73,154
9:03 AM,69,161
9:00 AM,75,174
9:04 AM,71,170
9:01 AM,76,156
9:00 AM,68,165
9:01 AM,67,157
9:01 AM,74,169
9:00 AM,75,151
9:03 AM,72,155
9:02 AM,73,167
9:03 AM,70,172
9:03 AM,72,154
9:00 AM,71,167
9:00 AM,76,153
9:04 AM,68,170
9:00 AM,74,167
9:02 AM,66,172
9:04 AM,69,168
9:00 AM,71,161
9:00 AM,76,164
9:03 AM,69,165
9:00 AM,67,160
9:02 AM,66,166
9:04 AM,72,153
9:00 AM,77,164
9:00 AM,73,166
9:03 AM,76,173
9:02 AM,75,150
9:01 AM,76,159
9:05 AM,77,154
9:01 AM,72,173
9:03 AM,75,150
9:03 AM,76,162
9:01 AM,74,167
9:03 AM,74,169
9:02 AM,71,160
9:03 AM,76,157
9:04 AM,71,169
9:00 AM,66,162
9:01 AM,70,154
9:00 AM,70,175
9:01 AM,67,158
9:04 AM,74,160
9:02 AM,73,171
9:00 AM,69,155
9:05 AM,76,153
9:04 AM,75,169
9:02 AM,69,171
9:02 AM,69,150
9:04 AM,77,174
9:00 AM,71,150
9:00 AM,68,161
9:03 AM,76,165
9:04 AM,76,173
9:01 AM,74,164
9:04 AM,70,164
9:04 AM,76,151
9:02 AM,76,150
9:03 AM,72,165
9:00 AM,66,164
9:00 AM,76,169
9:00 AM,70,157
9:03 AM,75,150
9:01 AM,75,155
9:03 AM,72,163
9:02 AM,71,169
9:01 AM,66,165
9:02 AM,68,161
9:04 AM,73,162
9:01 AM,66,175
9:04 AM,71,163
9:03 AM,75,167
9:01 AM,72,174
9:00 AM,67,153
9:00 AM,66,169
9:04 AM,71,160
9:01 AM,72,157
9:04 AM,66,161
9:04 AM,67,170
9:02 AM,67,174
9:03 AM,70,171
9:01 AM,73,166
9:03 AM,73,164
9:04 AM,70,164
9:03 AM,70,163
9:03 AM,67,166
9:03 AM,69,151
9:02 AM,68,161
9:04 AM,76,165
9:00 AM,71,151
9:04 AM,76,151
9:00 AM,71,172
9:01 AM,73,165
9:04 AM,72,164
9:04 AM,66,158
9:01 AM,72,171
9:02 AM,77,153
9:01 AM,75,172
9:01 AM,76,160
9:04 AM,72,152
9:04 AM,71,170
9:02 AM,75,152
9:01 AM,67,175
9:01 AM,77,173
9:03 AM,72,158
9:01 AM,68,164
9:03 AM,70,164
9:04 AM,70,157
9:00 AM,74,162
9:04 AM,73,155
9:02 AM,68,154
9:03 AM,72,154
9:02 AM,71,167
9:02 AM,66,172
9:00 AM,70,150
9:01 AM,67,174
9:03 AM,68,155
9:02 AM,76,150
9:00 AM,72,157
9:04 AM,67,175
9:02 AM,69,168
9:04 AM,69,172
9:02 AM,74,174
9:04 AM,68,153
9:01 AM,75,166
9:03 AM,68,155
9:01 AM,75,154
9:00 AM,73,173
9:04 AM,71,152
9:04 AM,67,159
9:01 AM,77,152
9:04 AM,69,161
9:04 AM,73,150
9:00 AM,73,151
9:02 AM,69,163
9:01 AM,69,157
9:03 AM,75,153
9:01 AM,68,154
9:04 AM,72,162
9:03 AM,70,169
9:04 AM,67,172
9:04 AM,76,169
9:00 AM,75,167
9:04 AM,71,150
9:03 AM,67,157
9:03 AM,77,156
9:03 AM,71,167
9:04 AM,76,155
9:04 AM,68,169
9:04 AM,75,172
9:00 AM,66,164
9:04 AM,76,162
9:03 AM,69,158
9:01 AM,70,168
9:04 AM,77,154
9:03 AM,66,164
9:02 AM,67,155
9:02 AM,71,156
9:03 AM,75,172
9:00 AM,71,153
9:04 AM,66,157
9:03 AM,74,167
9:00 AM,72,164
9:01 AM,75,160
9:01 AM,76,155
9:00 AM,74,153
9:02 AM,71,174
9:01 AM,69,156
9:04 AM,75,153
9:01 AM,74,150
9:01 AM,73,150
9:03 AM,70,169
9:01 AM,71,150
9:01 AM,75,163
9:04 AM,77,162
9:01 AM,67,159
9:03 AM,76,151
9:02 AM,75,158
9:04 AM,67,170
9:02 AM,66,150
9:01 AM,69,174
9:02 AM,73,155
9:04 AM,71,161
9:02 AM,66,158
9:00 AM,67,173
9:03 AM,69,158
9:03 AM,77,161
9:02 AM,77,164
9:04 AM,66,167
9:00 AM,73,168
9:04 AM,66,175
9:04 AM,76,150
9:02 AM,71,164
9:01 AM,68,167
9:04 AM,69,170
9:00 AM,66,162
9:03 AM,71,162
9:02 AM,68,163
9:03 AM,75,166
9:00 AM,69,168
9:00 AM,75,155
9:01 AM,66,170
9:01 AM,77,175
9:01 AM,73,153
9:02 AM,71,175
9:02 AM,76,172
9:01 AM,75,156
9:04 AM,69,154
9:03 AM,66,168
9:00 AM,69,156
9:00 AM,68,161
9:00 AM,74,155
9:04 AM,73,164
9:02 AM,77,153
9:00 AM,69,169
9:01 AM,66,159
9:03 AM,66,163
9:02 AM,71,174
9:03 AM,75,155
9:01 AM,70,165
9:03 AM,75,162
9:01 AM,72,167
9:04 AM,76,173
9:02 AM,75,174
9:01 AM,77,157
9:00 AM,71,155
9:02 AM,66,161
9:02 AM,69,174
9:03 AM,67,175
9:01 AM,72,167
9:00 AM,77,157
9:02 AM,72,173
9:04 AM,75,166
9:03 AM,69,169
9:01 AM,67,154
9:03 AM,71,155
9:01 AM,75,175
9:03 AM,68,168
9:01 AM,74,158
9:01 AM,67,158
9:01 AM,67,163
9:00 AM,71,162
9:01 AM,67,172
9:04 AM,74,165
9:02 AM,69,156
9:03 AM,72,173
9:03 AM,70,152
9:00 AM,74,154
9:01 AM,75,173
9:00 AM,71,159
9:04 AM,76,168
9:02 AM,71,161
9:03 AM,70,169
9:03 AM,76,167
9:01 AM,76,161
9:04 AM,70,161
9:03 AM,66,161
9:01 AM,67,156
9:04 AM,71,160
9:00 AM,74,171
9:03 AM,71,175
9:04 AM,72,175
9:00 AM,73,169
9:04 AM,77,153
9:00 AM,70,155
9:04 AM,74,172
9:02 AM,77,158
9:04 AM,70,172
9:00 AM,73,170
9:00 AM,69,153
9:02 AM,73,171
9:02 AM,68,166
9:02 AM,76,161
9:01 AM,77,165
9:00 AM,70,150
9:04 AM,75,161
9:00 AM,67,153
9:04 AM,66,157
9:01 AM,66,160
9:02 AM,77,160
9:03 AM,74,151
9:01 AM,66,171
9:04 AM,77,172
9:01 AM,76,161
9:00 AM,74,152
9:00 AM,74,172
9:03 AM,71,172
9:00 AM,76,169
9:03 AM,66,162
9:04 AM,76,164
9:02 AM,69,174
9:02 AM,72,159
9:03 AM,75,174
9:04 AM,66,169
9:00 AM,76,156
9:02 AM,72,158
9:03 AM,67,153
9:00 AM,67,154
9:00 AM,70,175
9:04 AM,75,163
9:04 AM,66,168
9:01 AM,67,156
9:00 AM,66,168
9:03 AM,76,170
9:03 AM,72,172
9:04 AM,68,166
9:02 AM,68,167
9:03 AM,67,165
9:01 AM,66,173
9:03 AM,68,152
9:04 AM,76,155
9:02 AM,68,174
9:00 AM,74,158
9:00 AM,73,168
9:02 AM,71,155
9:04 AM,69,158
9:00 AM,75,167
9:00 AM,67,169
9:01 AM,72,158
9:00 AM,69,171
9:01 AM,70,172
9:04 AM,70,161
9:04 AM,73,167
9:01 AM,68,172
9:04 AM,76,164
9:01 AM,77,155
9:00 AM,67,158
9:03 AM,72,157
9:01 AM,72,166
9:00 AM,75,169
9:02 AM,67,156
9:00 AM,74,151
9:03 AM,74,164
9:03 AM,70,169
9:04 AM,73,151
9:01 AM,71,153
9:00 AM,72,170
9:00 AM,71,153
9:02 AM,70,164
9:03 AM,76,169
9:00 AM,67,166
9:04 AM,75,151
9:03 AM,70,156
9:02 AM,75,162
9:03 AM,73,160
9:00 AM,67,166
9:03 AM,68,175
9:04 AM,76,169
9:04 AM,77,165
9:04 AM,66,156
9:00 AM,73,174
9:04 AM,74,150
9:02 AM,68,170
9:00 AM,77,175
9:04 AM,67,156
9:01 AM,71,165
9:04 AM,70,174
9:03 AM,77,155
9:04 AM,69,174
9:02 AM,77,170
9:04 AM,67,160
9:04 AM,75,175
9:04 AM,69,163
9:01 AM,69,159
9:04 AM,77,166
9:04 AM,66,154
9:04 AM,66,152
9:04 AM,68,174
9:02 AM,76,172
9:02 AM,69,173
9:02 AM,69,174
9:00 AM,76,172
9:04 AM,71,160
9:02 AM,68,170
9:01 AM,66,173
9:00 AM,74,162
9:01 AM,77,164
9:02 AM,69,156
9:04 AM,73,166
9:04 AM,69,158
9:00 AM,67,162
9:02 AM,72,169
9:03 AM,77,167
9:03 AM,67,159
9:02 AM,74,175
9:04 AM,66,154
9:01 AM,70,157
9:00 AM,72,160
9:00 AM,69,155
9:04 AM,67,157
9:04 AM,66,170
9:03 AM,67,173
9:01 AM,66,157
9:05 AM,69,164
9:03 AM,67,174
9:03 AM,76,174
9:02 AM,71,157
9:00 AM,70,170
9:01 AM,76,160
9:04 AM,72,152
9:04 AM,68,157
9:01 AM,68,153
9:01 AM,76,153
9:02 AM,71,157
9:00 AM,76,173
9:00 AM,69,171
9:02 AM,68,150
9:01 AM,66,170
9:03 AM,69,166
9:04 AM,72,154
9:01 AM,73,153
9:02 AM,73,150
9:01 AM,75,173
9:00 AM,73,170
9:01 AM,76,158
9:00 AM,77,159
9:01 AM,72,175
9:02 AM,68,160
9:03 AM,67,169
9:01 AM,67,157
9:02 AM,74,156
9:04 AM,68,170
9:02 AM,75,174
9:01 AM,74,151
9:01 AM,76,154
9:03 AM,67,156
9:00 AM,70,166
9:03 AM,74,165
9:01 AM,68,160
9:04 AM,67,174
9:01 AM,71,153
9:02 AM,75,154
9:02 AM,66,157
9:03 AM,74,161
9:00 AM,76,165
9:03 AM,72,168
9:04 AM,69,150
9:04 AM,73,157
9:01 AM,67,157
9:01 AM,77,156
9:01 AM,67,163
9:03 AM,68,174
9:02 AM,73,152
9:00 AM,71,156
9:03 AM,74,166
9:01 AM,73,162
9:02 AM,73,169
9:04 AM,67,153
9:03 AM,71,153
9:03 AM,68,169
9:01 AM,71,155
9:03 AM,77,168
9:02 AM,72,174
9:01 AM,71,175
9:01 AM,67,175
9:03 AM,72,172
9:00 AM,68,159
9:01 AM,69,170
9:01 AM,74,163
9:02 AM,71,170
9:01 AM,66,159
9:03 AM,66,159
9:01 AM,70,165
9:04 AM,71,160
9:02 AM,76,164
9:00 AM,67,150
9:04 AM,76,154
9:04 AM,70,174
9:01 AM,74,154
9:02 AM,73,167
9:00 AM,70,154
9:04 AM,76,155
9:01 AM,75,170
9:04 AM,77,152
9:04 AM,67,168
9:01 AM,73,169
9:00 AM,77,151
9:01 AM,66,154
9:01 AM,76,152
9:03 AM,68,166
9:02 AM,76,156
9:00 AM,66,167
9:02 AM,67,166
9:02 AM,66,162
9:02 AM,74,175
9:04 AM,69,171
9:02 AM,71,158
9:04 AM,66,174
9:02 AM,69,167
9:00 AM,67,163
9:03 AM,69,163
9:04 AM,77,159
9:03 AM,74,150
9:00 AM,66,175
9:00 AM,71,153
9:04 AM,70,170
9:00 AM,68,158
9:01 AM,66,156
9:01 AM,66,169
9:00 AM,75,154
9:01 AM,73,167
9:04 AM,76,172
9:04 AM,71,166
9:04 AM,75,155
9:02 AM,74,169
9:03 AM,69,169
9:00 AM,73,171
9:04 AM,76,166
9:03 AM,70,171
9:03 AM,74,164
9:00 AM,71,157
9:03 AM,74,155
9:01 AM,68,161
9:03 AM,75,151
9:04 AM,67,169
9:01 AM,71,171
9:01 AM,76,152
9:04 AM,71,151
9:04 AM,72,159
9:02 AM,71,152
9:02 AM,67,162
9:04 AM,72,164
9:03 AM,75,154
9:00 AM,67,162
9:02 AM,76,160
9:00 AM,66,167
9:01 AM,76,157
9:02 AM,70,160
9:00 AM,66,153
9:02 AM,75,152
9:03 AM,67,174
9:00 AM,74,162
9:01 AM,77,164
9:03 AM,70,159
9:02 AM,71,173
9:01 AM,73,173
9:03 AM,75,160
9:03 AM,68,150
9:01 AM,76,171
9:03 AM,73,173
9:04 AM,66,160
9:01 AM,67,156
9:00 AM,77,168
9:02 AM,72,166
9:04 AM,76,165
9:01 AM,70,171
9:02 AM,76,164
9:02 AM,74,168
9:01 AM,74,167
9:03 AM,70,158
9:03 AM,76,162
9:00 AM,69,154
9:02 AM,69,155
9:04 AM,74,150
9:02 AM,70,152
9:04 AM,69,165
9:01 AM,71,163
9:02 AM,67,160
9:00 AM,70,157
9:00 AM,67,173
9:02 AM,68,152
9:00 AM,72,154
9:04 AM,76,165
9:04 AM,75,168
9:02 AM,72,166
9:04 AM,77,156
9:00 AM,71,158
9:02 AM,72,160
9:02 AM,72,165
9:03 AM,72,160
9:02 AM,72,170
9:02 AM,73,161
9:02 AM,66,172
9:04 AM,70,174
9:02 AM,70,163
9:03 AM,74,160
9:03 AM,67,169
9:01 AM,71,150
9:04 AM,76,163
9:01 AM,70,157
9:01 AM,75,156
9:02 AM,69,173
9:01 AM,68,160
9:04 AM,76,170
9:04 AM,77,170
9:04 AM,77,157
9:04 AM,69,154
9:04 AM,76,169
9:04 AM,74,164
9:01 AM,73,170
9:03 AM,74,165
9:04 AM,74,166
9:04 AM,66,167
9:03 AM,76,158
9:01 AM,75,173
9:03 AM,75,166
9:01 AM,73,162
9:02 AM,77,171
9:03 AM,75,160
9:04 AM,72,151
9:02 AM,77,168
9:00 AM,66,153
9:01 AM,73,169
9:00 AM,71,151
9:03 AM,73,173
9:01 AM,73,152
9:02 AM,66,170
9:01 AM,70,166
9:00 AM,72,163
9:02 AM,75,170
9:01 AM,73,156
9:01 AM,73,165
9:00 AM,72,152
