customerid,item,price
108,Beauty,$79.43
109,Computers,$25.36
110,Beauty,$40.72
111,Movies,$80.43
112,Books,$26.29
113,Games,$34.16
114,Baby,$85.56
115,Computers,$80.62
116,Jewelery,$34.17
117,Clothing,$25.37
118,Beauty,$58.01
119,Games,$93.72
120,Automotive,$70.00
121,Grocery,$4.55
122,Games,$96.15
123,Music,$3.83
124,Shoes,$69.34
125,Sports,$6.33
126,Tools,$21.70
127,Tools,$36.05
128,Jewelery,$4.41
129,Industrial,$0.54
130,Automotive,$73.83
131,Tools,$45.31
132,Toys,$1.86
133,Shoes,$2.54
134,Garden,$56.59
135,Computers,$26.83
136,Kids,$52.82
137,Health,$91.53
138,Home,$16.46
139,Jewelery,$30.78
140,Outdoors,$66.92
141,Grocery,$79.95
142,Grocery,$36.26
143,Garden,$7.65
144,Home,$12.45
145,Movies,$84.22
146,Shoes,$99.02
147,Grocery,$61.73
148,Garden,$37.36
149,Books,$41.43
150,Electronics,$71.30
151,Shoes,$5.81
152,Electronics,$81.12
153,Clothing,$85.90
154,Music,$77.49
155,Industrial,$20.06
156,Electronics,$20.44
157,Grocery,$36.76
158,Tools,$43.12
159,Games,$58.93
160,Outdoors,$95.70
161,Toys,$99.85
162,Music,$68.10
163,Toys,$21.31
164,Toys,$56.80
165,Health,$69.72
166,Grocery,$10.04
167,Movies,$89.88
168,Jewelery,$99.64
169,Toys,$87.71
170,Beauty,$68.49
171,Sports,$99.18
172,Books,$4.30
173,Tools,$13.74
174,Industrial,$22.70
175,Computers,$48.86
176,Tools,$69.02
177,Garden,$83.70
178,Baby,$35.66
179,Computers,$24.21
180,Home,$61.12
181,Shoes,$9.24
182,Music,$56.56
183,Automotive,$89.67
184,Clothing,$31.48
185,Outdoors,$16.36
186,Books,$17.86
187,Movies,$83.53
188,Automotive,$50.62
189,Kids,$61.66
190,Toys,$28.57
191,Electronics,$20.25
192,Computers,$38.97
193,Jewelery,$5.84
194,Movies,$52.27
195,Health,$41.03
196,Movies,$76.05
197,Electronics,$55.94
198,Computers,$69.20
199,Beauty,$81.48
200,Games,$34.39
201,Tools,$29.65
202,Baby,$63.37
203,Music,$51.15
204,Garden,$55.88
205,Health,$13.91
206,Garden,$87.68
207,Kids,$38.13
208,Automotive,$6.07
209,Computers,$88.47
210,Sports,$15.05
211,Outdoors,$88.15
212,Industrial,$46.92
213,Health,$15.49
214,Beauty,$99.92
215,Tools,$49.63
216,Baby,$82.90
217,Electronics,$58.24
218,Automotive,$22.83
219,Industrial,$91.88
220,Outdoors,$10.32
221,Beauty,$31.81
222,Clothing,$22.03
223,Toys,$94.77
224,Games,$55.52
225,Games,$62.47
226,Electronics,$99.43
227,Sports,$90.44
228,Movies,$27.73
229,Beauty,$77.57
230,Kids,$98.17
231,Sports,$3.72
232,Shoes,$37.80
233,Sports,$13.99
234,Automotive,$69.54
235,Home,$96.09
236,Books,$22.15
237,Outdoors,$30.64
238,Computers,$52.12
239,Health,$1.49
240,Clothing,$41.44
241,Shoes,$12.29
242,Jewelery,$51.92
243,Health,$33.03
244,Shoes,$12.38
245,Movies,$86.14
246,Clothing,$61.69
247,Grocery,$62.25
248,Toys,$20.69
249,Garden,$49.85
250,Books,$18.53
251,Clothing,$22.37
252,Jewelery,$96.33
253,Beauty,$19.67
254,Music,$68.05
255,Home,$38.56
256,Shoes,$28.75
257,Clothing,$65.96
258,Baby,$10.37
259,Toys,$23.00
260,Computers,$44.34
261,Electronics,$19.67
262,Books,$8.07
263,Home,$67.05
264,Baby,$64.40
265,Kids,$21.26
266,Automotive,$95.64
267,Home,$88.84
268,Shoes,$38.78
269,Outdoors,$82.02
270,Clothing,$60.62
271,Baby,$6.26
272,Beauty,$12.08
273,Jewelery,$86.45
274,Beauty,$70.43
275,Music,$18.46
276,Computers,$52.69
277,Garden,$25.14
278,Tools,$24.66
279,Clothing,$95.71
280,Electronics,$75.15
281,Home,$81.36
282,Sports,$78.60
283,Industrial,$89.95
284,Tools,$58.59
285,Computers,$91.38
286,Home,$39.33
287,Grocery,$41.63
288,Kids,$56.61
289,Health,$57.13
290,Automotive,$77.19
291,Grocery,$17.39
292,Outdoors,$48.54
293,Jewelery,$76.89
294,Jewelery,$82.29
295,Garden,$67.55
296,Movies,$65.74
297,Tools,$56.76
298,Grocery,$93.72
299,Movies,$42.68
300,Clothing,$0.85
301,Electronics,$9.84
302,Sports,$66.59
303,Computers,$32.26
304,Clothing,$61.40
305,Industrial,$3.31
306,Sports,$45.44
307,Shoes,$5.23
308,Home,$51.67
309,Home,$33.49
310,Electronics,$73.25
311,Games,$74.07
312,Music,$61.07
313,Garden,$10.73
314,Electronics,$81.25
315,Health,$59.49
316,Computers,$93.18
317,Music,$25.97
318,Clothing,$91.59
319,Baby,$50.37
320,Industrial,$66.06
321,Books,$1.44
322,Shoes,$5.03
323,Beauty,$94.20
324,Computers,$86.29
325,Games,$4.70
326,Industrial,$94.67
327,Grocery,$26.32
328,Books,$45.30
329,Sports,$7.27
330,Outdoors,$11.24
331,Books,$55.66
332,Books,$46.36
333,Games,$42.81
334,Kids,$36.32
335,Games,$3.59
336,Garden,$18.19
337,Clothing,$50.44
338,Jewelery,$98.58
339,Grocery,$51.46
340,Shoes,$13.74
341,Kids,$51.36
342,Books,$75.96
343,Health,$99.12
344,Music,$81.48
345,Beauty,$39.20
346,Jewelery,$33.88
347,Baby,$91.57
348,Books,$96.72
349,Beauty,$48.32
350,Tools,$31.02
351,Clothing,$20.65
352,Outdoors,$10.78
353,Music,$64.40
354,Toys,$45.35
355,Baby,$26.92
356,Toys,$95.97
357,Automotive,$44.56
358,Garden,$47.28
359,Toys,$98.87
360,Beauty,$34.99
361,Baby,$86.50
362,Movies,$25.66
363,Toys,$32.62
364,Electronics,$79.27
365,Shoes,$87.50
366,Clothing,$34.74
367,Music,$73.79
368,Kids,$13.72
369,Computers,$55.56
370,Music,$30.18
371,Toys,$5.87
372,Games,$9.15
373,Baby,$45.60
374,Outdoors,$75.27
375,Grocery,$53.73
376,Toys,$21.29
377,Health,$48.37
378,Grocery,$96.14
379,Shoes,$16.17
380,Grocery,$56.89
381,Movies,$1.98
382,Electronics,$94.27
383,Tools,$44.75
384,Home,$19.41
385,Music,$85.87
386,Garden,$47.51
387,Books,$48.24
388,Shoes,$37.23
389,Music,$0.00
390,Toys,$68.36
391,Outdoors,$86.50
392,Outdoors,$30.16
393,Books,$72.62
394,Outdoors,$37.97
395,Music,$24.94
396,Tools,$87.68
397,Clothing,$84.32
398,Industrial,$34.87
399,Sports,$57.64
400,Shoes,$64.09
401,Outdoors,$24.21
402,Movies,$42.32
403,Electronics,$19.96
404,Health,$97.88
405,Games,$51.41
406,Industrial,$80.57
407,Sports,$19.75
408,Health,$19.25
409,Clothing,$9.39
410,Health,$77.71
411,Outdoors,$81.48
412,Games,$99.25
413,Kids,$44.73
414,Music,$75.76
415,Outdoors,$75.62
416,Sports,$9.68
417,Electronics,$39.25
418,Music,$86.41
419,Computers,$80.60
420,Outdoors,$78.66
421,Books,$78.33
422,Electronics,$4.27
423,Automotive,$95.01
424,Garden,$45.89
425,Books,$21.34
426,Tools,$79.51
427,Books,$17.64
428,Health,$0.58
429,Outdoors,$79.05
430,Tools,$69.15
431,Health,$69.52
432,Music,$87.50
433,Shoes,$10.40
434,Home,$41.37
435,Toys,$84.11
436,Movies,$29.16
437,Tools,$95.97
438,Music,$86.73
439,Kids,$29.17
440,Books,$64.79
441,Computers,$79.19
442,Music,$81.30
443,Garden,$5.45
444,Books,$48.38
445,Shoes,$90.75
446,Books,$66.88
447,Games,$84.90
448,Home,$84.72
449,Toys,$44.64
450,Automotive,$88.81
451,Grocery,$51.70
452,Music,$59.30
453,Home,$11.60
454,Sports,$44.73
455,Movies,$86.40
456,Computers,$39.79
457,Computers,$99.59
458,Industrial,$0.37
459,Electronics,$39.42
460,Baby,$82.20
461,Garden,$45.10
462,Outdoors,$45.41
463,Games,$5.78
464,Tools,$19.69
465,Toys,$23.70
466,Sports,$74.66
467,Music,$99.14
468,Automotive,$30.11
469,Toys,$77.15
470,Toys,$81.75
471,Movies,$28.89
472,Beauty,$42.19
473,Baby,$45.24
474,Automotive,$59.10
475,Grocery,$73.34
476,Shoes,$75.21
477,Automotive,$46.29
478,Beauty,$90.58
479,Jewelery,$22.15
480,Baby,$95.76
481,Clothing,$38.65
482,Kids,$22.18
483,Clothing,$3.69
484,Health,$10.96
485,Automotive,$87.21
486,Baby,$59.29
487,Baby,$96.59
488,Games,$4.87
489,Health,$0.60
490,Books,$63.90
491,Kids,$2.29
492,Health,$39.66
493,Home,$42.25
494,Music,$0.29
495,Baby,$37.24
496,Shoes,$99.62
497,Garden,$26.06
498,Clothing,$75.75
499,Grocery,$44.25
500,Kids,$22.52
501,Home,$78.82
502,Toys,$2.14
503,Clothing,$13.85
504,Music,$79.35
505,Toys,$50.00
506,Kids,$91.68
507,Toys,$41.21
508,Jewelery,$22.85
509,Industrial,$30.70
510,Industrial,$93.61
511,Movies,$57.77
512,Sports,$36.22
513,Jewelery,$10.53
514,Home,$36.29
515,Tools,$19.47
516,Games,$13.42
517,Books,$96.10
55,Beauty,$64.84
55,Garden,$72.31
55,Electronics,$90.92
55,Jewelery,$30.05
55,Electronics,$6.91
55,Tools,$2.27
55,Baby,$58.08
55,Industrial,$34.95
55,Movies,$0.79
55,Movies,$63.76
55,Shoes,$28.15
55,Games,$14.21
55,Tools,$44.77
55,Shoes,$28.37
55,Movies,$69.30
55,Grocery,$81.18
55,Health,$20.39
55,Sports,$38.06
55,Games,$38.99
55,Music,$41.45
55,Toys,$45.25
55,Industrial,$43.42
55,Kids,$26.17
55,Baby,$10.80
55,Beauty,$53.77
55,Music,$21.15
55,Toys,$76.90
55,Sports,$90.80
55,Home,$24.74
55,Health,$74.23
55,Automotive,$10.31
55,Music,$29.12
55,Beauty,$41.83
55,Industrial,$53.34
55,Clothing,$82.17
55,Computers,$31.48
55,Clothing,$11.11
55,Movies,$82.74
55,Electronics,$8.58
55,Books,$48.54
55,Sports,$78.24
55,Toys,$81.23
55,Baby,$84.04
55,Automotive,$26.65
55,Shoes,$64.30
55,Garden,$31.30
55,Clothing,$27.89
55,Beauty,$35.34
55,Automotive,$87.22
55,Toys,$66.60
55,Baby,$26.25
55,Jewelery,$62.91
55,Jewelery,$45.00
55,Garden,$97.66
55,Games,$74.03
55,Toys,$5.11
55,Toys,$30.40
55,Health,$83.13
55,Movies,$55.49
55,Shoes,$9.17
55,Music,$8.06
55,Health,$98.12
55,Sports,$20.60
55,Sports,$11.42
55,Garden,$26.77
55,Kids,$14.80
55,Tools,$71.03
55,Automotive,$73.32
55,Health,$95.06
55,Beauty,$16.43
55,Sports,$99.25
55,Tools,$37.96
55,Books,$60.94
55,Shoes,$89.31
55,Tools,$99.32
55,Beauty,$58.51
55,Grocery,$20.42
55,Electronics,$50.92
55,Garden,$90.71
55,Health,$16.14
55,Kids,$0.64
55,Toys,$87.69
55,Home,$5.64
55,Grocery,$74.24
55,Health,$9.35
55,Home,$91.83
55,Music,$39.52
55,Music,$60.78
55,Kids,$37.82
55,Toys,$7.74
55,Shoes,$68.51
55,Baby,$36.94
55,Kids,$57.85
55,Grocery,$63.73
55,Garden,$83.15
55,Home,$68.35
55,Outdoors,$43.16
55,Kids,$87.68
55,Beauty,$76.65
518,Baby,$88.84
519,Industrial,$78.96
520,Health,$2.40
521,Sports,$71.97
522,Shoes,$88.85
523,Electronics,$71.54
524,Tools,$31.73
525,Jewelery,$25.47
526,Tools,$11.28
527,Electronics,$57.45
528,Automotive,$96.02
529,Movies,$53.41
530,Computers,$75.48
531,Toys,$24.60
532,Industrial,$84.10
533,Movies,$60.99
534,Automotive,$22.50
535,Tools,$76.69
536,Garden,$43.72
537,Tools,$14.77
538,Games,$39.71
539,Baby,$30.97
540,Automotive,$28.90
541,Tools,$74.56
542,Sports,$64.62
543,Automotive,$9.72
544,Sports,$84.01
545,Tools,$13.96
546,Games,$72.91
547,Movies,$90.32
548,Grocery,$66.37
549,Automotive,$10.67
550,Sports,$51.08
551,Home,$83.61
552,Electronics,$80.09
553,Health,$9.29
554,Computers,$58.35
555,Grocery,$36.05
556,Games,$80.41
557,Health,$89.19
558,Kids,$68.23
559,Baby,$68.44
560,Sports,$59.13
561,Beauty,$78.05
562,Industrial,$25.84
563,Jewelery,$30.83
564,Home,$8.48
565,Movies,$67.04
566,Tools,$95.10
567,Jewelery,$62.56
568,Baby,$6.46
569,Games,$61.83
570,Computers,$49.50
571,Clothing,$91.44
572,Toys,$50.16
573,Music,$79.72
574,Health,$86.56
575,Shoes,$25.22
576,Kids,$91.90
577,Kids,$40.47
578,Electronics,$27.28
579,Computers,$78.80
580,Jewelery,$1.47
581,Industrial,$39.98
582,Home,$32.50
583,Beauty,$31.33
584,Jewelery,$37.65
585,Music,$82.01
586,Sports,$28.52
587,Sports,$44.70
588,Home,$20.74
589,Garden,$67.34
590,Garden,$32.29
591,Tools,$0.42
592,Beauty,$79.26
593,Jewelery,$26.74
594,Beauty,$57.76
595,Grocery,$52.16
596,Sports,$13.59
597,Garden,$99.60
598,Automotive,$37.17
599,Games,$0.03
600,Baby,$4.12
601,Shoes,$37.80
602,Garden,$44.49
603,Kids,$51.04
604,Electronics,$92.99
605,Baby,$17.89
606,Industrial,$34.01
607,Jewelery,$84.85
608,Grocery,$36.04
609,Kids,$92.06
610,Movies,$29.46
611,Beauty,$86.75
612,Jewelery,$81.03
613,Music,$66.60
614,Outdoors,$1.03
615,Movies,$70.83
616,Shoes,$91.19
617,Baby,$20.13
618,Baby,$42.43
619,Shoes,$97.78
620,Industrial,$40.37
621,Shoes,$8.28
622,Automotive,$77.70
623,Music,$83.41
624,Toys,$48.42
625,Industrial,$41.03
626,Outdoors,$47.31
627,Grocery,$25.96
628,Grocery,$73.40
629,Clothing,$32.93
630,Electronics,$12.82
631,Clothing,$6.49
632,Music,$93.99
633,Health,$87.24
634,Grocery,$2.27
635,Health,$90.85
636,Music,$63.32
637,Outdoors,$79.98
638,Jewelery,$17.19
639,Electronics,$21.48
640,Automotive,$81.66
641,Kids,$56.94
642,Books,$71.81
643,Kids,$87.74
644,Shoes,$84.99
645,Jewelery,$75.37
646,Clothing,$19.59
647,Home,$24.86
648,Automotive,$95.20
649,Baby,$15.14
650,Computers,$20.12
651,Movies,$42.29
652,Computers,$63.25
653,Kids,$23.95
654,Tools,$8.98
655,Garden,$29.93
656,Health,$21.52
657,Sports,$95.50
658,Sports,$52.87
659,Home,$80.77
660,Baby,$27.40
661,Health,$72.50
662,Home,$74.35
663,Tools,$54.09
664,Toys,$59.37
665,Beauty,$17.05
666,Books,$80.23
667,Books,$17.99
668,Kids,$91.69
669,Industrial,$98.12
670,Garden,$59.32
671,Music,$43.94
672,Grocery,$6.62
673,Computers,$22.58
674,Books,$36.84
675,Beauty,$45.29
676,Home,$82.46
677,Shoes,$63.31
678,Games,$99.26
679,Industrial,$38.34
680,Toys,$2.79
681,Beauty,$87.05
682,Clothing,$79.30
683,Shoes,$40.99
684,Clothing,$25.71
685,Books,$93.33
686,Sports,$75.98
687,Toys,$84.11
688,Beauty,$49.83
689,Jewelery,$47.67
690,Shoes,$94.85
691,Baby,$77.51
692,Movies,$68.14
693,Baby,$41.01
694,Automotive,$71.57
695,Baby,$25.74
696,Tools,$8.32
697,Sports,$45.00
698,Games,$57.17
699,Kids,$44.77
700,Tools,$92.58
701,Books,$83.35
702,Movies,$70.76
703,Baby,$5.37
704,Baby,$81.05
705,Clothing,$30.27
706,Outdoors,$43.83
707,Health,$82.99
708,Computers,$6.73
709,Home,$77.17
710,Industrial,$88.22
711,Shoes,$24.45
712,Automotive,$8.40
713,Jewelery,$4.60
714,Books,$70.52
715,Electronics,$28.93
716,Automotive,$9.55
717,Health,$42.72
718,Kids,$80.20
719,Home,$71.83
720,Music,$59.71
721,Sports,$41.86
722,Garden,$57.22
723,Games,$68.88
724,Industrial,$12.76
725,Grocery,$21.63
726,Automotive,$84.90
727,Books,$74.56
728,Baby,$28.92
729,Outdoors,$52.31
730,Beauty,$34.01
731,Toys,$44.14
732,Music,$76.46
733,Industrial,$65.31
734,Health,$88.25
735,Automotive,$36.31
736,Music,$48.22
737,Electronics,$76.77
738,Sports,$48.91
739,Automotive,$23.93
740,Grocery,$84.39
741,Beauty,$31.04
742,Jewelery,$26.81
743,Health,$12.17
744,Jewelery,$30.07
745,Tools,$99.88
746,Toys,$37.14
747,Industrial,$59.73
748,Baby,$46.32
749,Books,$77.34
750,Outdoors,$94.85
751,Shoes,$77.72
752,Outdoors,$31.16
753,Sports,$17.22
754,Books,$6.79
755,Shoes,$18.75
756,Baby,$35.28
757,Electronics,$1.94
758,Automotive,$29.45
759,Movies,$94.13
760,Toys,$89.50
761,Electronics,$48.38
762,Music,$7.35
763,Electronics,$29.51
764,Industrial,$31.03
765,Beauty,$77.95
766,Outdoors,$94.42
767,Beauty,$44.25
768,Movies,$86.73
769,Home,$46.48
770,Sports,$45.45
771,Beauty,$99.60
772,Clothing,$45.65
773,Automotive,$43.88
774,Tools,$85.26
775,Industrial,$89.60
776,Sports,$36.03
777,Music,$10.49
778,Toys,$5.57
779,Baby,$79.67
780,Books,$48.85
781,Sports,$83.46
782,Games,$38.58
783,Home,$50.73
784,Health,$0.16
785,Toys,$3.47
786,Sports,$70.40
787,Garden,$20.16
788,Toys,$50.70
789,Electronics,$85.38
790,Beauty,$77.51
791,Grocery,$83.52
792,Industrial,$63.56
793,Movies,$68.53
794,Industrial,$3.79
795,Clothing,$14.98
796,Outdoors,$96.69
797,Music,$95.63
798,Electronics,$98.29
799,Grocery,$22.02
800,Tools,$39.39
801,Clothing,$65.70
802,Electronics,$11.45
803,Industrial,$6.91
804,Kids,$5.58
805,Clothing,$66.45
806,Home,$52.85
807,Toys,$96.34
808,Health,$86.61
809,Shoes,$64.85
810,Clothing,$56.49
811,Baby,$89.45
812,Toys,$95.00
813,Toys,$77.08
814,Outdoors,$7.65
815,Kids,$96.56
816,Games,$20.87
817,Home,$24.59
818,Clothing,$76.10
819,Clothing,$99.85
820,Movies,$31.76
821,Movies,$38.20
822,Outdoors,$25.29
823,Baby,$34.77
824,Grocery,$50.14
825,Tools,$86.49
826,Computers,$43.89
827,Sports,$43.38
828,Shoes,$77.56
829,Toys,$35.73
830,Clothing,$26.12
831,Baby,$72.22
832,Books,$99.91
833,Sports,$8.02
834,Grocery,$73.56
835,Automotive,$60.60
836,Games,$24.67
837,Tools,$56.07
838,Sports,$2.82
839,Shoes,$75.27
840,Books,$22.58
841,Outdoors,$60.72
842,Kids,$38.59
843,Computers,$35.99
844,Garden,$15.54
845,Music,$17.26
846,Home,$88.38
847,Sports,$12.10
848,Movies,$49.12
849,Health,$14.62
850,Movies,$51.54
851,Industrial,$63.15
852,Grocery,$47.85
853,Automotive,$33.48
854,Movies,$35.16
855,Computers,$24.68
856,Movies,$25.03
857,Clothing,$34.50
858,Outdoors,$26.24
859,Movies,$26.40
860,Movies,$52.47
861,Movies,$27.18
862,Grocery,$0.91
863,Automotive,$94.98
864,Tools,$37.53
865,Computers,$29.92
866,Tools,$17.23
867,Movies,$69.44
868,Industrial,$89.08
869,Electronics,$70.64
870,Baby,$2.12
871,Music,$39.73
872,Industrial,$76.13
873,Automotive,$61.44
874,Games,$68.68
875,Health,$5.67
876,Computers,$35.76
877,Garden,$59.18
878,Baby,$21.88
879,Shoes,$75.55
880,Toys,$47.11
881,Music,$51.87
882,Jewelery,$51.45
883,Health,$42.57
884,Outdoors,$88.03
885,Home,$89.08
886,Music,$23.56
887,Games,$57.17
888,Toys,$21.53
889,Music,$67.97
890,Industrial,$11.90
891,Electronics,$23.36
892,Shoes,$43.11
893,Movies,$36.05
894,Movies,$27.87
895,Movies,$27.25
896,Industrial,$38.36
897,Kids,$50.81
898,Tools,$5.83
899,Beauty,$94.40
900,Garden,$75.69
901,Toys,$74.60
902,Garden,$78.29
903,Garden,$80.60
904,Kids,$60.43
905,Kids,$66.59
906,Sports,$69.18
907,Music,$82.69
908,Electronics,$33.99
909,Garden,$75.06
910,Automotive,$45.09
911,Computers,$21.76
912,Shoes,$79.85
913,Home,$50.87
914,Shoes,$34.87
915,Garden,$96.34
916,Toys,$52.03
917,Electronics,$75.74
918,Home,$19.71
919,Electronics,$42.06
920,Kids,$42.28
921,Beauty,$46.04
922,Industrial,$8.21
923,Outdoors,$95.15
924,Jewelery,$62.72
925,Clothing,$82.60
926,Health,$62.79
927,Electronics,$81.87
928,Industrial,$87.92
929,Home,$1.20
930,Garden,$66.46
931,Beauty,$92.78
932,Electronics,$94.03
933,Tools,$59.46
934,Kids,$10.23
935,Toys,$29.15
936,Clothing,$63.03
937,Grocery,$74.02
938,Beauty,$18.14
939,Sports,$26.63
940,Tools,$75.20
941,Baby,$89.72
942,Jewelery,$31.14
943,Automotive,$31.55
944,Sports,$91.59
945,Movies,$15.30
946,Toys,$58.99
947,Movies,$79.90
948,Baby,$8.57
949,Tools,$14.38
950,Books,$33.14
951,Sports,$9.53
952,Home,$56.37
953,Grocery,$40.73
954,Toys,$7.58
955,Home,$93.53
956,Home,$27.53
957,Clothing,$94.38
958,Kids,$81.29
959,Outdoors,$27.94
960,Grocery,$65.34
961,Computers,$36.56
962,Clothing,$43.85
963,Outdoors,$1.59
964,Industrial,$22.49
965,Kids,$40.57
966,Home,$47.07
967,Health,$21.93
968,Toys,$58.62
969,Garden,$37.77
970,Tools,$32.66
971,Electronics,$30.64
972,Games,$89.01
973,Games,$50.40
974,Automotive,$87.37
975,Jewelery,$14.29
976,Toys,$11.84
977,Health,$26.44
978,Tools,$16.30
979,Movies,$61.87
980,Health,$44.58
981,Music,$51.10
982,Baby,$4.67
983,Toys,$59.47
984,Garden,$53.98
985,Books,$13.22
986,Home,$31.82
987,Tools,$42.56
988,Sports,$60.58
989,Movies,$73.93
990,Sports,$61.39
991,Grocery,$7.57
992,Movies,$93.17
993,Grocery,$44.85
994,Clothing,$82.31
995,Jewelery,$95.00
996,Clothing,$63.30
997,Home,$6.36
998,Music,$67.07
999,Grocery,$14.08
1000,Jewelery,$38.87
